date,Open,High,Low,Close,Volume,volatility
11/3/1999,0.5535,0.5989,0.5495,0.5245,4191000,0.983160384
11/4/1999,0.5869,0.6332,0.5869,0.5579,2625700,1.254633721
11/5/1999,0.5085,0.5127,0.4556,0.54,1284100,1.134773642
11/8/1999,0.5895,0.6434,0.5706,0.5555,979200,0.964824358
11/9/1999,0.5403,0.5427,0.5123,0.5472,567400,0.826762892
11/10/1999,0.536,0.5366,0.5191,0.5425,300100,0.70076382
11/11/1999,0.6216,0.6983,0.6078,0.5807,1172300,0.649378603
11/12/1999,0.6176,0.6237,0.5824,0.6116,1044800,0.749661871
11/15/1999,0.5842,0.6017,0.5599,0.5998,754600,0.797038005
11/16/1999,0.7032,0.766,0.7003,0.6571,1507900,0.76011617
11/17/1999,0.6956,0.7453,0.6857,0.6822,1638300,0.877230289
11/18/1999,0.6726,0.6784,0.6553,0.6845,491600,0.748447478
11/19/1999,0.8758,0.9685,0.8729,0.8196,4510800,0.848441094
11/22/1999,0.7967,0.7972,0.7293,0.8183,1125400,1.076834616
11/23/1999,0.7896,0.8296,0.7844,0.7598,1152600,0.968294069
11/24/1999,0.7162,0.7241,0.6438,0.7359,847600,1.226005216
11/26/1999,0.7334,0.7405,0.7117,0.7311,149500,1.071979789
11/29/1999,0.6818,0.6908,0.6437,0.7049,622100,1.003402921
11/30/1999,0.6195,0.6301,0.5798,0.6619,655600,0.985553004
12/1/1999,0.7305,0.778,0.7305,0.6954,465700,1.071453975
12/2/1999,0.799,0.8659,0.799,0.7466,645600,0.957941534
12/3/1999,0.7046,0.7169,0.6723,0.7288,714100,0.968012199
12/6/1999,0.7675,0.7902,0.7675,0.7491,372100,1.079848145
12/7/1999,0.6943,0.6954,0.6395,0.724,388300,1.00038753
12/8/1999,0.7924,0.8384,0.7899,0.7562,420200,0.942650074
12/9/1999,0.7128,0.7308,0.6677,0.7336,447800,0.912324287
12/10/1999,0.7044,0.7078,0.6718,0.7252,204800,0.865627673
12/13/1999,0.7287,0.7541,0.719,0.7227,383000,0.916710443
12/14/1999,0.6979,0.715,0.6782,0.7109,570600,0.881040677
12/15/1999,0.6706,0.674,0.6377,0.6881,429100,0.852419153
12/16/1999,0.675,0.6855,0.6646,0.6833,276200,0.833845691
12/17/1999,0.7365,0.7653,0.7327,0.7193,546000,0.815094544
12/20/1999,0.8421,0.919,0.8129,0.7789,838400,0.785710936
12/21/1999,0.8472,0.8849,0.816,0.8123,809100,0.807008806
12/22/1999,0.8484,0.8757,0.816,0.8315,523300,0.831245326
12/23/1999,0.9439,1.0076,0.94,0.8865,583800,0.838589922
12/27/1999,0.8035,0.8046,0.7484,0.8531,421700,0.787566207
12/28/1999,0.8481,0.8789,0.8433,0.8506,373300,0.794363087
12/29/1999,0.9107,0.9536,0.9101,0.8792,275300,0.864718023
12/30/1999,0.8938,0.9072,0.8793,0.8865,291200,0.802100518
12/31/1999,0.91,0.9242,0.9071,0.8972,265300,0.790963484
1/3/2000,0.8864,0.8935,0.8489,0.8947,626900,0.78548422
1/4/2000,0.8625,0.8649,0.8109,0.8708,626000,0.764240822
1/5/2000,0.8435,0.8578,0.834,0.8446,392400,0.758842122
1/6/2000,0.736,0.736,0.6598,0.7873,251000,0.755273774
1/7/2000,0.8177,0.8438,0.8053,0.8005,148300,0.764004824
1/10/2000,0.8513,0.9121,0.8361,0.8267,499700,0.741550262
1/11/2000,0.7656,0.7745,0.7389,0.7932,308600,0.735713022
1/12/2000,0.7532,0.7543,0.7238,0.773,257400,0.783286271
1/13/2000,0.8402,0.8843,0.8298,0.8053,275400,0.734590571
1/14/2000,0.8632,0.9226,0.8608,0.8399,1259500,0.749721142
1/18/2000,0.9014,0.9318,0.8609,0.8756,545100,0.732956431
