Date,Open,High,Low,Close
1/1/1988,8.85,8.85,8.85,8.85
1/4/1988,8.8191,8.8191,8.8191,8.8191
1/5/1988,8.7569,8.7569,8.7569,8.7569
1/6/1988,8.8094,8.8094,8.8094,8.8094
1/7/1988,8.8334,8.8334,8.8334,8.8334
1/8/1988,8.959,8.959,8.959,8.959
1/11/1988,8.9347,8.9347,8.9347,8.9347
1/12/1988,8.9346,8.9346,8.9346,8.9346
1/13/1988,8.8669,8.8669,8.8669,8.8669
1/14/1988,8.8669,8.8669,8.8669,8.8669
1/15/1988,8.5947,8.5947,8.5947,8.5947
1/18/1988,8.59,8.59,8.59,8.59
1/19/1988,8.6277,8.6277,8.6277,8.6277
1/20/1988,8.5993,8.5993,8.5993,8.5993
1/21/1988,8.5287,8.5287,8.5287,8.5287
1/22/1988,8.4769,8.4769,8.4769,8.4769
1/25/1988,8.4441,8.4441,8.4441,8.4441
1/26/1988,8.5424,8.5424,8.5424,8.5424
1/27/1988,8.3695,8.3695,8.3695,8.3695
1/28/1988,8.337,8.337,8.337,8.337
1/29/1988,8.2722,8.2722,8.2722,8.2722
2/1/1988,8.272,8.272,8.272,8.272
2/2/1988,8.1848,8.1848,8.1848,8.1848
2/3/1988,8.2534,8.2534,8.2534,8.2534
2/4/1988,8.2365,8.2365,8.2365,8.2365
2/5/1988,8.1203,8.1203,8.1203,8.1203
2/8/1988,8.1899,8.1899,8.1899,8.1899
2/9/1988,8.162,8.162,8.162,8.162
2/10/1988,8.1065,8.1065,8.1065,8.1065
2/11/1988,8.162,8.162,8.162,8.162
2/12/1988,8.2833,8.2833,8.2833,8.2833
2/15/1988,8.31,8.31,8.31,8.31
2/16/1988,8.3114,8.3114,8.3114,8.3114
2/17/1988,8.3114,8.3114,8.3114,8.3114
2/18/1988,8.2832,8.2832,8.2832,8.2832
2/19/1988,8.2831,8.2831,8.2831,8.2831
2/22/1988,8.2455,8.2455,8.2455,8.2455
2/23/1988,8.1708,8.1708,8.1708,8.1708
2/24/1988,8.1754,8.1754,8.1754,8.1754
2/25/1988,8.2127,8.2127,8.2127,8.2127
2/26/1988,8.1799,8.1799,8.1799,8.1799
2/29/1988,8.1519,8.1519,8.1519,8.1519
3/1/1988,8.1519,8.1519,8.1519,8.1519
3/2/1988,8.124,8.124,8.124,8.124
3/3/1988,8.1239,8.1239,8.1239,8.1239
3/4/1988,8.2827,8.2827,8.2827,8.2827
3/7/1988,8.3156,8.3156,8.3156,8.3156
3/8/1988,8.3345,8.3345,8.3345,8.3345
3/9/1988,8.3109,8.3109,8.3109,8.3109
3/10/1988,8.3487,8.3487,8.3487,8.3487
3/11/1988,8.2919,8.2919,8.2919,8.2919
3/14/1988,8.2919,8.2919,8.2919,8.2919
3/15/1988,8.2966,8.2966,8.2966,8.2966
3/16/1988,8.3629,8.3629,8.3629,8.3629
3/17/1988,8.2966,8.2966,8.2966,8.2966
3/18/1988,8.401,8.401,8.401,8.401
3/21/1988,8.4583,8.4583,8.4583,8.4583
3/22/1988,8.4583,8.4583,8.4583,8.4583
3/23/1988,8.4631,8.4631,8.4631,8.4631
3/24/1988,8.5016,8.5016,8.5016,8.5016
3/25/1988,8.468,8.468,8.468,8.468
3/28/1988,8.5596,8.5596,8.5596,8.5596
3/29/1988,8.5452,8.5452,8.5452,8.5452
3/30/1988,8.5694,8.5694,8.5694,8.5694
3/31/1988,8.5694,8.5694,8.5694,8.5694
4/1/1988,8.55,8.55,8.55,8.55
4/4/1988,8.667,8.667,8.667,8.667
4/5/1988,8.672,8.672,8.672,8.672
4/6/1988,8.5989,8.5989,8.5989,8.5989
4/7/1988,8.5989,8.5989,8.5989,8.5989
4/8/1988,8.5118,8.5118,8.5118,8.5118
4/11/1988,8.5797,8.5797,8.5797,8.5797
4/12/1988,8.5652,8.5652,8.5652,8.5652
4/13/1988,8.5458,8.5458,8.5458,8.5458
4/14/1988,8.6775,8.6775,8.6775,8.6775
4/15/1988,8.7417,8.7417,8.7417,8.7417
4/18/1988,8.7962,8.7962,8.7962,8.7962
4/19/1988,8.8112,8.8112,8.8112,8.8112
4/20/1988,8.8262,8.8262,8.8262,8.8262
4/21/1988,8.8114,8.8114,8.8114,8.8114
4/22/1988,8.777,8.777,8.777,8.777
4/25/1988,8.7672,8.7672,8.7672,8.7672
4/26/1988,8.7921,8.7921,8.7921,8.7921
4/27/1988,8.7872,8.7872,8.7872,8.7872
4/28/1988,8.852,8.852,8.852,8.852
4/29/1988,8.8674,8.8674,8.8674,8.8674
5/2/1988,8.89,8.89,8.89,8.89
5/3/1988,8.8926,8.8926,8.8926,8.8926
5/4/1988,8.8878,8.8878,8.8878,8.8878
5/5/1988,8.908,8.908,8.908,8.908
5/6/1988,9.0092,9.0092,9.0092,9.0092
5/9/1988,9.0246,9.0246,9.0246,9.0246
5/10/1988,9.0654,9.0654,9.0654,9.0654
5/11/1988,9.086,9.086,9.086,9.086
5/12/1988,9.0862,9.0862,9.0862,9.0862
5/13/1988,8.9855,8.9855,8.9855,8.9855
5/16/1988,9.0143,9.0143,9.0143,9.0143
5/17/1988,9.1109,9.1109,9.1109,9.1109
5/18/1988,9.2034,9.2034,9.2034,9.2034
5/19/1988,9.1887,9.1887,9.1887,9.1887
5/20/1988,9.2179,9.2179,9.2179,9.2179
5/23/1988,9.2326,9.2326,9.2326,9.2326
5/24/1988,9.2178,9.2178,9.2178,9.2178
5/25/1988,9.1982,9.1982,9.1982,9.1982
5/26/1988,9.2128,9.2128,9.2128,9.2128
5/27/1988,9.2422,9.2422,9.2422,9.2422
5/30/1988,9.26,9.26,9.26,9.26
5/31/1988,9.2127,9.2127,9.2127,9.2127
6/1/1988,9.0421,9.0421,9.0421,9.0421
6/2/1988,9.0663,9.0663,9.0663,9.0663
6/3/1988,8.9647,8.9647,8.9647,8.9647
6/6/1988,8.9694,8.9694,8.9694,8.9694
6/7/1988,9.0224,9.0224,9.0224,9.0224
6/8/1988,8.9213,8.9213,8.9213,8.9213
6/9/1988,8.9596,8.9596,8.9596,8.9596
6/10/1988,8.9258,8.9258,8.9258,8.9258
6/13/1988,8.9066,8.9066,8.9066,8.9066
6/14/1988,8.6788,8.6788,8.6788,8.6788
6/15/1988,8.7069,8.7069,8.7069,8.7069
6/16/1988,8.8968,8.8968,8.8968,8.8968
6/17/1988,9.0315,9.0315,9.0315,9.0315
6/20/1988,9.0169,9.0169,9.0169,9.0169
6/21/1988,9.0362,9.0362,9.0362,9.0362
6/22/1988,8.8964,8.8964,8.8964,8.8964
6/23/1988,8.8819,8.8819,8.8819,8.8819
6/24/1988,8.853,8.853,8.853,8.853
6/27/1988,8.9345,8.9345,8.9345,8.9345
6/28/1988,8.8672,8.8672,8.8672,8.8672
6/29/1988,8.872,8.872,8.872,8.872
6/30/1988,8.8098,8.8098,8.8098,8.8098
7/1/1988,8.7525,8.7525,8.7525,8.7525
7/4/1988,8.76,8.76,8.76,8.76
7/5/1988,8.819,8.819,8.819,8.819
7/6/1988,8.8955,8.8955,8.8955,8.8955
7/7/1988,8.934,8.934,8.934,8.934
7/8/1988,9.0404,9.0404,9.0404,9.0404
7/11/1988,9.0112,9.0112,9.0112,9.0112
7/12/1988,9.0794,9.0794,9.0794,9.0794
7/13/1988,9.1136,9.1136,9.1136,9.1136
7/14/1988,9.1038,9.1038,9.1038,9.1038
7/15/1988,9.0696,9.0696,9.0696,9.0696
7/18/1988,9.1332,9.1332,9.1332,9.1332
7/19/1988,9.0989,9.0989,9.0989,9.0989
7/20/1988,9.1038,9.1038,9.1038,9.1038
7/21/1988,9.148,9.148,9.148,9.148
7/22/1988,9.1136,9.1136,9.1136,9.1136
7/25/1988,9.0891,9.0891,9.0891,9.0891
7/26/1988,9.0695,9.0695,9.0695,9.0695
7/27/1988,9.148,9.148,9.148,9.148
7/28/1988,9.1628,9.1628,9.1628,9.1628
7/29/1988,9.1185,9.1185,9.1185,9.1185
8/1/1988,9.0646,9.0646,9.0646,9.0646
8/2/1988,9.0011,9.0011,9.0011,9.0011
8/3/1988,9.0254,9.0254,9.0254,9.0254
8/4/1988,8.9816,8.9816,8.9816,8.9816
8/5/1988,9.1235,9.1235,9.1235,9.1235
8/8/1988,9.1137,9.1137,9.1137,9.1137
8/9/1988,9.2027,9.2027,9.2027,9.2027
8/10/1988,9.3084,9.3084,9.3084,9.3084
8/11/1988,9.3475,9.3475,9.3475,9.3475
8/12/1988,9.3475,9.3475,9.3475,9.3475
