tenor,put_vol,call_vol,atm_vol,domestic_rate,foreign_rate
0.0192,0.121,0.123,0.118,0.005,0.0043
0.0384,0.1215,0.122,0.1182,0.0052,0.004
0.0877,0.1105,0.111,0.1015,0.0059,0.005
0.1726,0.113,0.113,0.1029,0.006,0.0055
0.2493,0.1224,0.121,0.115,0.0063,0.0068
0.3333,0.1236,0.122,0.116,0.0069,0.0071
0.4166,0.125,0.124,0.118,0.007,0.0066
0.5,0.116,0.114,0.105,0.0072,0.0078
0.75,0.1175,0.113,0.108,0.0075,0.0085
1,0.1322,0.125,0.121,0.0077,0.0083
1.25,0.136,0.13,0.124,0.008,0.0088
1.5,0.14,0.14,0.132,0.0085,0.0079
2,0.1411,0.1411,0.135,0.009,0.0082
3,0.1433,0.1433,0.1375,0.00925,0.0087
4,0.1445,0.1445,0.14,0.0095,0.0093
5,0.145,0.145,0.141,0.0098,0.0095
