#{"t_start": 1705786806.936878, "env_id": "None"}
r,l,t
-26.075508,251,5.223495
-20.509203,251,9.997602
-41.77438,251,14.270281
-20.751991,251,18.87374
-38.67017,251,23.211973
-21.847802,251,27.397575
-77.509304,251,31.868922
-48.985969,251,36.069036
-21.660908,251,39.901334
-59.263799,251,43.645055
-25.839871,251,47.365256
-90.014353,251,51.188045
-24.800768,251,54.879722
-63.055246,251,58.681993
-36.016206,251,62.311116
-24.794871,251,66.125899
-33.202225,251,69.623909
-114.343114,243,73.467716
-66.280869,251,77.517701
-29.336684,251,81.739834
-61.240393,251,85.940949
-22.687762,251,90.222633
-41.631935,251,94.502316
-20.487637,251,98.607347
-47.356513,251,103.500558
-38.954562,251,107.992923
-30.887318,251,112.629413
-15.818334,147,116.649873
-19.61315,251,120.887519
-21.624878,251,125.383388
-29.458207,251,129.863743
-18.485942,251,134.448688
-35.663712,251,138.879501
-36.262105,251,143.243255
-27.472919,251,147.658054
-86.196539,251,151.635977
-28.346462,251,155.54484
-31.129723,251,159.55379
-24.270766,251,163.543223
-23.080466,251,167.716814
-46.52658,251,5.040337
-41.353463,251,9.352046
-33.558757,251,13.554163
-33.6492,251,17.830342
-22.97125,251,22.332716
-12.736026,251,26.684461
-57.257809,251,30.876568
-26.857826,251,34.639806
-21.351518,251,38.67828
-22.76053,251,42.484556
-27.631234,251,46.224274
-16.081447,251,49.914449
-38.743965,251,53.656168
-20.05535,251,57.915834
-16.972006,251,61.880746
-24.987867,251,65.668005
-0.885695,6,65.709039
-17.9601,251,69.359681
-45.031647,251,73.099899
-19.497324,163,76.004399
-15.060594,251,79.889241
-29.240588,251,83.572911
-48.14317,247,87.098444
-10.083132,251,90.662512
2.420964,251,94.412238
-18.424616,251,98.273561
-7.088116,251,102.318541
-17.38647,251,106.124316
-11.466384,251,110.04619
-18.619547,251,114.490014
-24.410683,251,118.706142
5.224222,251,123.179991
-33.824935,251,127.562262
12.970678,251,132.018096
-14.702638,251,136.350824
-53.703411,251,140.806158
-65.479008,251,145.290516
-46.764314,251,149.855444
-13.886375,251,154.623547
-11.021384,251,158.893722
-13.743105,251,163.248969
-5.851161,251,4.963271
-33.517919,251,9.398587
-73.506538,251,13.512126
-8.348345,251,17.846356
-24.967065,251,21.98792
-54.057371,251,26.181028
0.488781,251,30.605335
-23.514798,251,34.997113
-61.460721,251,38.963526
-34.635498,251,42.555617
3.868259,251,46.473489
-75.556144,251,49.966994
-20.798931,251,53.557083
-24.105777,251,57.036077
-46.454499,251,60.731257
-1.980304,251,64.498498
-11.674274,251,68.387344
-22.342057,251,72.246665
-23.055871,251,76.202569
-8.092413,251,80.125444
-31.892651,251,83.998777
-26.491925,251,88.168865
-18.995094,251,92.396503
-13.557449,251,96.581104
-36.44939,251,100.767707
-6.442502,251,105.295102
-24.753705,251,109.606812
-6.678883,251,113.763388
-46.682807,251,118.139155
-56.719699,251,122.691571
-13.143577,251,127.406629
-16.034255,251,131.72034
-15.604555,251,135.621197
-12.121586,251,139.862846
-88.540188,251,143.906826
11.260935,251,147.742627
-48.183773,251,151.634475
-39.685622,251,155.443253
-41.986986,251,159.377137
-15.686223,251,163.274991
-5.319113,251,5.463201
13.211562,251,10.181761
1.996536,251,14.940856
2.655132,251,19.648407
-19.249945,251,23.89456
-4.462003,251,27.897004
-13.96097,251,32.454926
-3.907495,251,37.351139
-0.935722,251,41.842504
-9.792532,251,46.071643
-5.636082,251,50.073587
-8.203885,251,53.934909
-3.603857,251,58.16605
-1.604205,251,62.588355
-5.231452,251,68.199683
-3.167768,251,72.55393
-16.305638,251,76.587901
-8.241488,251,81.092777
-8.511689,251,85.481053
-12.89817,251,89.797767
-17.312521,251,93.921816
-5.307764,251,98.736959
-3.779337,251,103.522578
-4.53353,251,108.337219
-3.456221,251,112.805565
-7.307722,251,117.380001
-11.053282,251,122.36429
-1.477645,251,127.45517
-7.10966,251,132.41744
-6.518148,251,136.939831
-6.609442,251,141.663396
-11.305396,251,146.025649
-9.355956,251,150.325349
-13.834903,251,154.67209
-11.601796,251,158.947268
-2.76591,251,162.720014
-4.593755,251,166.95666
-2.723138,251,171.932942
-0.445021,251,175.898353
-0.396431,251,179.709132
1.718495,251,5.351604
-3.106816,251,10.008111
-1.320254,251,14.8763
-4.782945,251,19.565335
-0.935567,251,24.365466
-11.141427,251,28.710704
-1.776979,251,33.237599
-10.270914,251,37.33012
-23.707056,251,41.535739
4.229011,251,45.690815
-12.511646,251,49.63621
-6.529777,251,53.583606
-11.936558,251,57.445929
0.829334,251,61.415345
-12.001481,251,65.346728
-5.889276,251,69.582873
10.349009,251,73.742452
-6.327209,251,77.790435
3.139288,251,81.914484
12.800078,251,86.875753
-15.343823,251,91.246013
-2.705185,251,95.628784
-2.039137,251,99.823894
-4.998879,251,104.352792
19.411691,251,108.945243
-1.1868,251,113.371552
-9.814615,251,118.096618
-16.899488,244,122.390312
-4.909892,251,126.764575
5.564069,251,131.250435
11.317109,251,135.351964
-3.039824,251,139.691198
-6.191326,251,143.887309
-4.177591,251,147.969321
-13.375263,251,151.657995
-8.413315,251,155.364184
-1.663348,251,159.086887
-2.34753,251,162.840617
-4.600672,145,165.506912
-13.65347,251,169.356224
0.914123,251,5.573296
-1.957846,251,10.208784
7.611543,251,14.57354
9.05725,251,18.704094
-13.820107,251,23.138409
-24.625585,251,27.236936
-0.436979,251,31.23938
0.265046,251,35.375439
-10.39481,251,39.464458
-6.66507,251,43.228196
-9.905966,251,46.842306
0.103636,251,50.765181
-5.107958,251,54.359775
3.113352,251,57.874298
23.383345,251,61.384319
0.858388,251,64.922863
11.18675,251,68.66058
7.20488,251,72.418813
11.358123,251,76.150024
-3.47368,251,80.057386
-9.599192,251,84.114377
-8.726247,251,88.132335
2.767496,251,92.107255
-15.627572,251,96.400449
-8.61713,251,101.233607
-3.731966,251,105.665921
-10.022061,251,110.135767
5.832079,251,114.42746
-18.082254,251,119.055442
-3.238071,251,123.531794
0.892753,251,127.702382
0.102963,251,132.066638
13.338466,251,136.333309
2.850381,251,140.391802
4.551869,251,144.412261
5.931825,251,148.260572
6.851888,251,152.241498
-30.176599,251,155.95119
-29.939359,251,159.810511
5.538102,251,163.647313
-28.787905,251,5.583304
-26.822784,251,10.2273
-37.296573,251,14.497474
5.168982,251,18.666061
-3.148236,251,22.943742
6.847622,251,27.53269
3.37349,251,31.778344
-3.957604,251,35.694213
-11.119218,251,39.921851
-34.738085,251,43.8142
-10.542772,251,47.808637
-3.712995,251,51.854118
-3.403673,251,55.780997
-2.887522,251,59.581767
-15.031674,251,63.329492
-17.048592,251,67.113748
-6.897312,251,71.053138
2.299825,251,74.845902
-26.681934,251,78.781788
-2.732935,251,82.790737
-5.72296,251,87.457253
-3.791764,251,91.572794
-4.600999,251,96.142226
-3.380941,251,100.792728
-0.682458,251,105.035379
-7.835443,251,109.514733
-3.068118,73,112.648429
-22.594301,251,116.662884
3.210089,251,120.68034
-6.366634,251,124.391534
16.868365,251,128.344435
-19.885337,251,132.149209
-9.719767,251,136.026045
-3.290464,251,139.840327
-1.635747,251,144.453296
-10.650649,251,148.842072
-2.924247,251,153.100236
-6.748552,251,157.403439
27.428016,251,161.761689
9.448731,251,166.225029
-4.938772,150,169.764075
-204.719297,86,1.528316
-0.384376,99,4.28819
-681.14714,251,7.982369
-714.7696,251,11.925262
-32.59015,82,14.443929
-272.179881,251,19.207527
-478.43099,251,24.120255
-11.962356,82,27.639282
-435.611656,163,30.66989
-839.342458,231,34.907036
-69.757409,251,38.786874
-18.014414,89,41.151409
-513.721745,172,44.273096
-10.279414,59,46.720702
-47.865856,72,47.197612
-14.403469,27,47.369259
-16.557647,27,49.579161
-22.735836,30,49.781835
-397.357273,128,52.8775
-603.447651,251,57.096129
-19.674478,33,57.298303
-829.93363,251,60.731257
400.718909,251,64.526523
-307.631576,251,68.379838
4.85465,92,70.791413
-145.933478,251,75.222226
-9.085659,99,75.81974
-19.717315,69,78.779287
-825.527201,251,82.80475
-180.407498,251,86.617531
-496.910594,251,90.608465
-14.29798,62,90.996799
-209.12701,251,94.570874
-628.720866,251,98.525278
-35.045906,46,101.49233
-248.976761,80,102.008275
31.804977,142,105.007855
-767.983711,233,109.051835
-148.202278,251,113.448118
-136.21833,158,116.733945
-55.392238,251,121.14424
-40.002088,36,123.670414
9.528092,127,127.070339
-20.453436,39,127.306542
-27.600916,44,127.583781
-83.456129,55,129.304261
-22.938167,44,129.585503
-14.388263,33,129.807695
-104.976149,56,131.481635
-478.998136,251,135.870912
75.054268,251,140.668039
-504.074485,163,144.474815
-584.137178,251,148.506283
-20.646473,34,148.727974
-1.240287,163,151.300188
-18.361864,35,153.922945
5.858792,124,157.413949
5.708264,123,161.006039
-15.4108,29,161.190698
-761.063334,251,165.355782
-18.759189,40,165.638025
-60.017218,39,165.888741
-17.544087,31,167.40955
-25.889917,53,167.749842
-434.779438,251,171.382968
-28.398694,40,171.636186
-19.987054,35,173.641912
-723.189823,251,177.949619
-18.18562,34,178.159299
-19.637753,35,178.384493
-23.649265,251,181.820449
-22.612234,40,182.066661
-15.631888,99,184.411679
0.233925,251,5.366617
-2.894242,251,9.77391
-67.386939,251,14.207225
6.196278,251,18.758642
-2.410018,251,23.334579
-9.092404,221,27.627773
14.095476,251,31.557154
-3.92659,251,35.262843
-11.08599,251,38.859938
-16.170595,251,42.656204
-13.496885,251,46.374403
29.682681,251,50.260748
-10.35228,251,54.301224
-29.960909,251,58.162547
-5.913192,251,62.237553
-5.19554,251,66.56878
46.800295,251,70.975572
26.459697,251,75.4244
-10.795498,251,79.810674
15.341846,251,83.962747
-12.729881,220,88.322998
-24.172938,251,92.207341
-7.702535,251,96.16925
-4.721348,251,100.107139
-5.283436,251,103.854362
-6.735851,251,107.81377
-8.626869,251,111.561995
-4.700555,251,115.321229
-3.24878,251,119.453785
30.207749,251,123.394677
-5.765638,251,127.638829
-90.398634,251,131.683309
5.330834,251,135.848392
34.34539,251,139.923399
-3.906787,251,144.240614
7.766879,251,148.575343
15.040471,251,153.245862
-5.054823,251,157.836812
-2.259563,54,158.178606
15.606718,251,161.906815
-12.965797,251,165.808172
37.073014,251,90.666014
15.29407,251,95.209424
9.959794,251,99.23839
8.120764,251,103.497555
14.749043,251,107.499499
1.049023,251,112.061424
31.193168,251,116.238018
9.83018,251,120.151885
-10.87081,251,124.20087
-40.340209,251,128.150768
-2.618008,66,130.456252
7.572593,251,134.779973
-14.957762,251,139.166747
3.856128,251,143.695644
-0.770616,19,143.813746
-2.557813,251,147.880245
4.495942,251,152.048832
16.08518,251,156.573225
-27.051596,251,160.552148
32.592724,251,165.015989
3.160154,251,169.559399
-16.645682,251,173.89563
7.16697,251,178.295916
17.602485,251,183.035495
15.134182,251,187.614434
2.823851,251,192.015221
61.359682,251,196.055697
6.745355,251,199.879488
17.64452,251,203.911958
-41.967209,251,207.935921
6.466354,251,211.639107
7.205081,251,215.361309
6.146222,251,219.055989
-11.601308,251,222.937328
17.152953,251,226.597978
-2.718584,251,230.320181
-30.452069,251,234.231547
-16.876477,251,238.067347
-17.687585,251,242.299489
0.919258,251,246.29843
32.41369,251,250.675697
-76.03752,251,4.937748
-71.28744,251,9.118346
-91.057564,251,13.406536
-69.556838,196,17.453518
-83.230053,251,21.002571
-54.182524,168,23.829504
-90.460125,251,27.712846
-79.726971,251,31.4946
-71.129591,251,35.334404
-92.753061,251,38.927996
-88.049466,251,42.524591
-71.418813,251,46.151211
-76.864146,251,49.779833
-88.395175,251,53.520552
-66.472362,251,57.192211
-86.794757,251,61.034018
-70.989948,251,64.920361
-133.972082,251,68.676593
-135.771772,251,72.498883
-100.815398,251,76.802585
-74.109085,251,80.981181
-77.219758,251,85.234841
-88.8527,251,89.53404
-108.088843,251,94.048926
-64.26616,251,98.940134
-71.867312,251,103.323406
-91.600728,251,107.632113
-86.299588,251,111.69611
-70.41901,251,115.910737
-83.638847,251,119.724518
-75.2613,251,124.013209
-195.297642,251,128.007645
-159.85896,251,132.097164
-83.233602,251,135.594173
-52.732869,157,138.35655
-70.004764,251,142.584188
-70.480912,251,146.427995
-90.834834,251,150.444952
-69.259927,195,154.176162
-62.096106,251,158.47286
-92.092292,251,162.27363
